,words,counts
303,Manali,1
156,&,1
154,#wowplacestogo,1
298,"Lonavala,",1
299,Longest,1
300,Maharajas,1
153,#wondersofrajasthan,1
304,"Manali,",1
311,Mrs,1
305,Manocha,1
306,Manochas,1
307,Meghalaya,1
151,#winter,1
309,MexicoYou’ve,1
310,Monday,1
169,"4am,",1
256,English,1
481,getaway?,1
255,Earth,1
204,@outlooktraveller,1
205,@patil_pranit,1
206,@patil_pratik,1
207,@po0jabisht,1
208,@prashanth_bionic⁠,1
181,@climberbharat,1
210,@sennarelaxDoing,1
211,@sesky_kiddo,1
212,@shreyanewar,1
213,@sshruti_gavhane,1
214,@thesunshineladki,1
215,@travelandleisureindia,1
180,@bhatkasahyadricha,1
217,@tripotocommunity,1
218,@vasco_di_gama_,1
203,@nikbatheja,1
202,@mohaknarang🎥@mohitkashyap27Wow😍🙌❤️Never,1
201,@milkycoffee1,1
192,@jadejemma,1
186,@incredibleindia,1
183,@discoverindiamagazine,1
188,@indiaon_wheelz,1
182,@cntravellerindia,1
190,@inside_india_tour,1
191,@itspinkcity,1
193,@jessicawangBeautiful,1
200,@maniiissshhh_,1
194,@khanisa,1
195,@kranti_sen_54,1
196,@kudadoomaldives,1
197,@lonelyplanetindia,1
198,@lushweddingstudioWhen,1
199,@mandar_adpaikar,1
219,@xkflyawayI,1
220,@yawarabdal,1
179,@beautifuljaipur,1
247,Decker,1
177,"@_soheeeBeautiful,",1
176,@_akash_katte_,1
175,@__iamabhi__,1
174,?,1
245,Da,1
246,Dal,1
173,:-,1
239,Cascading,1
171,9381812528,1
170,8121010101,1
251,Double,1
252,Downs,1
253,Dudhsagar,1
254,Due,1
240,"Chamarajnagar,",1
238,Caribbean,1
222,Anguilla,1
229,Beauchamp,1
223,At,1
224,Australia,1
225,Available,1
226,BBQ,1
227,Bates,1
228,"Beach,",1
230,Blessed,1
237,"Canyon,",1
231,Book,1
178,@aniketdshinde05,1
233,But,1
234,Canada,1
235,Canadian,1
236,Canyon,1
332,Rajput,1
137,#travelgirlsindia,1
136,#travelgirlsgo,1
135,#traveldiaries,1
430,chosen,1
431,clan,1
432,cleared,1
433,collected,1
434,coming,1
99,#monsoon,1
436,"comment,",1
437,connecting,1
438,coolest,1
439,could,1
440,country,1
441,credits,1
442,crematorium,1
443,day,1
444,destination,1
429,chhatriyan,1
428,cheeky,1
427,chat,1
104,#myrajasthanclicks,1
412,blame,1
413,bridge,1
414,brother,1
415,bucket,1
416,bustling,1
417,but,1
102,#mullaloobeach,1
426,channel,1
420,called,1
421,camera,1
422,can,1
423,car,1
424,cenotaphs,1
101,#mullaloo,1
445,details,1
98,#mobigraphy_raj,1
447,don't,1
473,"forest,",1
467,finally…,1
468,foliage,1
469,folks,1
470,followers,1
471,food?,1
92,#jannat,1
474,found,1
465,"feet,",1
475,founder,1
91,#itspinkcity,1
477,friends/Colleagues/,1
89,#insideindiatour,1
185,@himalaya_vashi,1
88,#indiaविजयी,1
466,finally,1
464,feel,1
448,dreams!,1
95,#jasperWhile,1
449,else,1
450,enjoying,1
451,ever,1
452,every,1
453,expect,1
454,expectations,1
456,experienced,1
93,#jannathimachalpradesh,1
457,eye,1
458,facing,1
94,#jannatofhimachal,1
460,famous,1
461,father,1
462,feature,1
411,black,1
410,beyond,1
409,best,1
122,#sissu,1
356,Tyler,1
357,Unity,1
124,#sonycybershotdschx400v,1
361,Valley,1
362,Vashisht,1
363,Venice,1
365,Video:,1
353,Traveller,1
366,Vietnam,1
367,Waterfall,1
368,"Waterfall,",1
369,"Waterfalls,",1
370,Wedding,1
371,What,1
355,"Trek,",1
129,#sunset,1
121,#shimla,1
343,"Sissu,",1
336,"Satara,",1
337,Set,1
339,Shibun,1
